"id","name","category","subcategory","domains","modality","disease","url","cost","licence","language","maintainer","description","best_for","notes","verified"
"ema-vaccines-clinical-evaluation","EMA Guideline on clinical evaluation of vaccines","guidance","EMA","regulatory|stats-ml|pkpd","vaccine","infectious-disease","https://www.ema.europa.eu/en/clinical-evaluation-new-vaccines-scientific-guideline","free","n/a","n/a","EMA","Sets EU requirements for immunogenicity, efficacy and safety evidence for preventive vaccines, including use of immune markers as endpoints, dose and schedule selection, and evaluation of changes to licensed vaccines.","Justifying immunobridging and schedule selection for preventive vaccines","Adopted and in force. EMEA/CHMP/VWP/164653/05 Rev. 1, effective August 2023.","2026-08-27"
"ema-immunogenicity-proteins","EMA Guideline on immunogenicity assessment of therapeutic proteins","guidance","EMA","regulatory|pkpd","protein-mab","any","https://www.ema.europa.eu/en/immunogenicity-assessment-biotechnology-derived-therapeutic-proteins-scientific-guideline","free","n/a","n/a","EMA","Sets EU expectations for anti-drug antibody assay strategy and risk factors, and how ADA incidence and neutralising capacity relate to changes in exposure, efficacy and safety.","Specifying ADA sampling and interpretation for EU submissions","Adopted and in force. EMEA/CHMP/BMWP/14327/2006 Rev 1, effective December 2017.","2026-08-27"
"ema-renal-impairment","EMA Guideline on PK evaluation in patients with decreased renal function","guidance","EMA","regulatory|pkpd|poppk","any","nephrology","https://www.ema.europa.eu/en/evaluation-pharmacokinetics-medicinal-products-patients-decreased-renal-function-scientific-guideline","free","n/a","n/a","EMA","When and how to evaluate renal impairment in the EU, including renal function metrics, study designs, use of population PK, and the resulting SmPC dose recommendations.","P-10 and S2: EU renal impairment requirements","Adopted. EMA/CHMP/725881/2015, effective July 2016, superseding CHMP/EWP/225/02.","2026-08-26"
"ema-hepatic-impairment","EMA Guideline on PK evaluation in patients with impaired hepatic function","guidance","EMA","regulatory|pkpd","any","hepatology","https://www.ema.europa.eu/en/evaluation-pharmacokinetics-medicinal-products-patients-impaired-hepatic-function-scientific-guideline","free","n/a","n/a","EMA","EU criteria for deciding whether a hepatic impairment study is needed, how to classify and recruit patients, and how findings translate into dosing advice in the SmPC.","P-11 and S2: EU hepatic impairment requirements","Adopted. CPMP/EWP/2339/02, effective August 2005.","2026-08-26"
"ema-poppk-reporting","EMA Guideline on reporting the results of population pharmacokinetic analyses","guidance","EMA","regulatory|poppk","any","any","https://www.ema.europa.eu/en/reporting-results-population-pharmacokinetic-analyses-scientific-guideline","free","n/a","n/a","EMA","What a population PK report submitted to EMA must contain - data handling, model-building rationale, diagnostics, validation and presentation - so an assessor can evaluate it.","S0-06 and S2: the EU counterpart to FDA's popPK guidance, and a usable report template","Adopted. CHMP/EWP/185990/06, adopted June 2007, effective January 2008.","2026-08-26"
"ema-biosimilar-nonclinical-clinical","EMA Guideline on similar biological medicinal products: non-clinical and clinical issues","guidance","EMA","regulatory|pkpd|stats-ml","protein-mab","any","https://www.ema.europa.eu/en/similar-biological-medicinal-products-containing-biotechnology-derived-proteins-active-substance-non-clinical-clinical-issues-scientific-guideline","free","n/a","n/a","EMA","Sets EU non-clinical and clinical requirements for biosimilars: pharmacotoxicological assessment, comparative PK and PD study design, sensitivity of endpoints, efficacy, clinical safety and immunogenicity.","Aligning a biosimilar PK/PD similarity package with EU requirements","Adopted and in force. EMEA/CHMP/BMWP/42832/2005 Rev1, effective July 2015, replacing the 2005 original.","2026-08-27"
"ema-drug-interactions","EMA Guideline on the investigation of drug interactions","guidance","EMA","regulatory|pharmacology|pbpk","small-molecule","any","https://www.ema.europa.eu/en/investigation-drug-interactions-scientific-guideline","free","n/a","n/a","EMA","EU expectations for in vitro and clinical DDI evaluation, decision criteria for triggering studies, use of modelling, and how interaction findings must reach the SmPC.","The EU DDI reference alongside ICH M12","Current effective version, marked under revision. CPMP/EWP/560/95/Rev.1 Corr.2, adopted 2012, last updated 2015.","2026-08-26"
"ema-gene-therapy","EMA Guideline on the quality, non-clinical and clinical aspects of gene therapy medicinal products","guidance","EMA","regulatory|pkpd","gene-therapy","any","https://www.ema.europa.eu/en/quality-preclinical-clinical-aspects-gene-therapy-medicinal-products-scientific-guideline","free","n/a","n/a","EMA","Sets EU quality, non-clinical and clinical requirements for gene therapy products, including biodistribution and shedding characterisation, dose expression, and transgene-expression endpoints.","Defining biodistribution and transgene-expression endpoints for an EU gene therapy programme","Adopted and in force. EMA/CAT/80183/2014, published July 2018, Revision 1 of the 2001 guidance.","2026-08-27"
"ema-pbpk-reporting","EMA Guideline on the reporting of PBPK modelling and simulation","guidance","EMA","regulatory|pbpk","any","any","https://www.ema.europa.eu/en/reporting-physiologically-based-pharmacokinetic-pbpk-modelling-simulation-scientific-guideline","free","n/a","n/a","EMA","What a PBPK report must document, including platform and model qualification proportionate to the regulatory impact of the intended use.","S3 PBPK: the EU expectations on model qualification and reporting","Adopted. EMA/CHMP/458101/2016, published December 2018, effective July 2019. The adopted title is 'reporting of PBPK' - 'qualification and reporting' was the draft title and should not be cited.","2026-08-26"
"ema-qualification-opinions","EMA opinions and letters of support on qualification of novel methodologies","guidance","EMA","regulatory|pkpd","any","cns|nephrology|respiratory|rare-disease|infectious-disease","https://www.ema.europa.eu/en/human-regulatory-overview/research-development/scientific-advice-protocol-assistance/opinions-letters-support-qualification-novel-methodologies-medicine-development","free","n/a","n/a","EMA, CHMP","The catalogue of CHMP qualification opinions and letters of support, with disease-specific entries for Alzheimer's biomarkers, Parkinson's DAT imaging, ADPKD kidney volume, Duchenne stride velocity and COPD fibrinogen.","The authoritative free register of which disease-specific methodologies European regulators have formally qualified","All documents are free downloadable PDFs with no registration. What is qualified is the methodology; model code is generally not attached.","2026-08-27"
